date,scraped_at,product_id,name,brand,price_cents,in_stock,url,status
2026-01-09,2026-01-09T17:59:56,770567,JVC HA-KD7 Blauw,JVC,2099,True,https://www.coolblue.nl/product/770567/jvc-ha-kd7-blauw.html,ok
2026-01-09,2026-01-09T18:00:00,966503,Nothing Headphone (1) Zwart,Nothing Tech,25100,True,https://www.coolblue.nl/product/966503/nothing-headphone-1-zwart.html,ok
2026-01-09,2026-01-09T18:00:03,956284,Marshall Major V Zwart,Marshall,11300,True,https://www.coolblue.nl/product/956284/marshall-major-v-zwart.html,ok
2026-01-09,2026-01-09T18:00:09,913212,Audio Technica ATH-M20XBT,Audio-Technica,8800,True,https://www.coolblue.nl/product/913212/audio-technica-ath-m20xbt.html,ok
2026-01-09,2026-01-09T18:00:13,952784,Dyson OnTrac Aluminium,Dyson,49900,True,https://www.coolblue.nl/product/952784/dyson-ontrac-aluminium.html,ok
2026-01-09,2026-01-09T18:00:17,952785,Dyson OnTrac Koper,Dyson,49900,True,https://www.coolblue.nl/product/952785/dyson-ontrac-koper.html,ok
2026-01-09,2026-01-09T18:00:21,735832,Sennheiser HD 569,Sennheiser,12300,True,https://www.coolblue.nl/product/735832/sennheiser-hd-569.html,ok
2026-01-09,2026-01-09T18:00:25,923639,Sony WH-CH520 Blauw,Sony,4499,True,https://www.coolblue.nl/product/923639/sony-wh-ch520-blauw.html,ok
2026-01-09,2026-01-09T18:00:29,972177,JBL Tune 530BT Zwart,JBL,6000,True,https://www.coolblue.nl/product/972177/jbl-tune-530bt-zwart.html,ok
2026-01-09,2026-01-09T18:00:33,972166,JBL Junior Free Blauw,JBL,7000,True,https://www.coolblue.nl/product/972166/jbl-junior-free-blauw.html,ok
2026-01-09,2026-01-09T18:00:37,972187,JBL Tune 730BT Blauw,JBL,8000,True,https://www.coolblue.nl/product/972187/jbl-tune-730bt-blauw.html,ok
2026-01-09,2026-01-09T18:00:42,972180,JBL Tune 530BT Wit,JBL,6000,True,https://www.coolblue.nl/product/972180/jbl-tune-530bt-wit.html,ok
2026-01-09,2026-01-09T18:00:47,949276,Philips TAH4209 Zwart,Philips,3099,True,https://www.coolblue.nl/product/949276/philips-tah4209-zwart.html,ok
2026-01-09,2026-01-09T18:00:51,972188,JBL Tune 730BT Wit,JBL,8000,True,https://www.coolblue.nl/product/972188/jbl-tune-730bt-wit.html,ok
